individual	n_missing	p_missing
PS12_044	1078	0.189322093432
PS12_045	1681	0.295223041798
PS12_046	629	0.110467158412
PS12_047	557	0.0978222690551
PS12_048	772	0.135581313664
GS13_001	482	0.084650509308
GS13_002	4051	0.711450649807
GS13_003	1457	0.25588338602
GS13_004	2862	0.502634351949
GS13_005	528	0.0927291886196
GS13_006	535	0.0939585528627
GS13_007	3082	0.541271513874
GS13_008	576	0.101159114858
GS13_009	3842	0.674745345978
GS13_010	2835	0.49789251844
GS13_011	627	0.110115911486
GS13_012	463	0.0813136635054
GS13_013	1293	0.22708113804
GS13_014	1357	0.238321039691
GS13_015	2234	0.392342817
GS13_016	604	0.10607657183
GS13_017	671	0.117843343871
PWS12_001	457	0.0802599227257
PWS12_002	386	0.0677906568318
PWS12_003	937	0.164559185107
PWS12_004	655	0.115033368458
PWS12_005	442	0.0776255707763
PWS12_006	485	0.0851773796979
PWS12_007	1487	0.261152089919
PWS12_008	492	0.086406743941
PWS12_009	599	0.105198454514
PWS12_010	435	0.0763962065332
PWS12_011	577	0.101334738321
PWS12_012	1672	0.293642430629
PWS12_013	622	0.109237794169
PWS12_014	430	0.0755180892167
PWS12_015	796	0.139796276783
PWS12_016	516	0.0906217070601
PWS12_017	353	0.061995082543
PWS12_018	741	0.130136986301
PWS12_019	907	0.159290481208
PWS12_020	503	0.0883386020372
PWS12_021	626	0.109940288022
PWS12_022	614	0.107832806463
PWS12_023	1179	0.207060063224
PWS12_025	676	0.118721461187
PWS12_031	557	0.0978222690551
PWS12_033	738	0.129610115911
PWS12_041	622	0.109237794169
PWS12_054	440	0.0772743238497
PWS12_055	1749	0.307165437302
PWS12_056	2735	0.480330172111
PWS12_057	769	0.135054443274
PWS12_063	1151	0.202142606252
PWS12_064	1675	0.294169301019
PWS12_066	493	0.0865823674043
PWS12_069	712	0.125043905866
PWS12_075	388	0.0681419037583
PWS12_076	1654	0.290481208289
PWS12_077	937	0.164559185107
PWS12_078	4371	0.767650158061
PWS12_079	483	0.0848261327713
PWS12_094	638	0.112047769582
PWS12_095	587	0.103090972954
PWS12_096	627	0.110115911486
PWS12_097	1066	0.187214611872
PWS12_131	602	0.105725324903
PWS12_132	1280	0.224798033017
PWS12_133	1894	0.33263083948
PWS12_134	828	0.145416227608
UP03_001	403	0.0707762557078
UP03_009	775	0.136108184053
UP03_017	847	0.148753073411
UP03_025	679	0.119248331577
UP03_033	2648	0.465050930804
UP03_041	568	0.0997541271514
UP03_002	2053	0.360554970144
UP03_010	511	0.0897435897436
UP03_018	476	0.0835967685283
UP03_026	4638	0.814541622761
UP03_034	2759	0.48454513523
UP03_042	1601	0.281173164735
UP03_003	477	0.0837723919916
