"sample"	"n_loci"	"population"	"group"
"505"	"PS12_048"	23140	"JuandeFuca12"	"Alaska"
"606"	"WC05_005"	23158	"WashCoast05"	"Alaska"
"233"	"JB021108_22.1_92bp"	23159	"JinhaeBay08"	"Korea"
"400"	"KOD03_093"	23162	"Kodiak03"	"Alaska"
"458"	"PS12_001"	23171	"SalishSea12_13"	"Alaska"
"32"	"AD06_032"	23178	"Adak06"	"Alaska"
"520"	"PWS12_015"	23184	"PWSound12"	"Alaska"
"490"	"PS12_033"	23190	"JuandeFuca12"	"Alaska"
"203"	"HS04_041"	23198	"HecStrait04"	"Alaska"
"218"	"JB021108_08.1_92bp"	23201	"JinhaeBay08"	"Korea"
"493"	"PS12_036"	23203	"JuandeFuca12"	"Alaska"
"523"	"PWS12_018"	23206	"PWSound12"	"Alaska"
"536"	"PWS12_057"	23207	"PWSound12"	"Alaska"
"540"	"PWS12_069"	23220	"PWSound12"	"Alaska"
"531"	"PWS12_033"	23238	"PWSound12"	"Alaska"
"162"	"GS13_017"	23242	"SalishSea12_13"	"Alaska"
"47"	"AD06_047"	23247	"Adak06"	"Alaska"
"208"	"HS04_046"	23247	"HecStrait04"	"Alaska"
"562"	"UP03_009"	23256	"UnimakPass03"	"Alaska"
"601"	"UP03_048"	23260	"UnimakPass03"	"Alaska"
"602"	"WC05_001"	23274	"WashCoast05"	"Alaska"
"3"	"AD06_003"	23285	"Adak06"	"Alaska"
"136"	"GEO020414_30_92bp"	23286	"Geoje14"	"Korea"
"40"	"AD06_040"	23289	"Adak06"	"Alaska"
"210"	"HS04_048"	23290	"HecStrait04"	"Alaska"
"575"	"UP03_022"	23293	"UnimakPass03"	"Alaska"
"7"	"AD06_007"	23294	"Adak06"	"Alaska"
"383"	"KOD03_076"	23295	"Kodiak03"	"Alaska"
"548"	"PWS12_096"	23295	"PWSound12"	"Alaska"
"503"	"PS12_046"	23308	"JuandeFuca12"	"Alaska"
"156"	"GS13_011"	23311	"SalishSea12_13"	"Alaska"
"45"	"AD06_045"	23313	"Adak06"	"Alaska"
"529"	"PWS12_025"	23320	"PWSound12"	"Alaska"
"526"	"PWS12_021"	23326	"PWSound12"	"Alaska"
"634"	"WC05_033"	23326	"WashCoast05"	"Alaska"
"153"	"GS13_008"	23328	"SalishSea12_13"	"Alaska"
"494"	"PS12_037"	23330	"JuandeFuca12"	"Alaska"
"550"	"PWS12_131"	23336	"PWSound12"	"Alaska"
"547"	"PWS12_095"	23342	"PWSound12"	"Alaska"
"161"	"GS13_016"	23345	"SalishSea12_13"	"Alaska"
"604"	"WC05_003"	23347	"WashCoast05"	"Alaska"
"636"	"WC05_035"	23347	"WashCoast05"	"Alaska"
"237"	"JB021108_25_2_92bp"	23351	"JinhaeBay08"	"Korea"
"397"	"KOD03_090"	23354	"Kodiak03"	"Alaska"
"4"	"AD06_004"	23355	"Adak06"	"Alaska"
"150"	"GS13_005"	23355	"SalishSea12_13"	"Alaska"
"514"	"PWS12_009"	23355	"PWSound12"	"Alaska"
"206"	"HS04_044"	23356	"HecStrait04"	"Alaska"
