sample	n_loci	population	group
JB021108_22.1_92bp	23159	JinhaeBay08	Korea
JB021108_23_92bp	24609	JinhaeBay08	Korea
JB021108_24_c_92bp	22816	JinhaeBay08	Korea
JB021108_25.1_92bp	21136	JinhaeBay08	Korea
JB021108_25_2_92bp	23351	JinhaeBay08	Korea
JB021108_26.1_92bp	24604	JinhaeBay08	Korea
JB021108_27_c_92bp	2813	JinhaeBay08	Korea
JB021108_28_2_92bp	23552	JinhaeBay08	Korea
JB021108_28_92bp	18174	JinhaeBay08	Korea
JB021108_29_92bp	23835	JinhaeBay08	Korea
JB021108_30_92bp	25129	JinhaeBay08	Korea
JB021108_31.1_92bp	15826	JinhaeBay08	Korea
JB021108_31_2_92bp	24502	JinhaeBay08	Korea
JB021108_32_92bp	25156	JinhaeBay08	Korea
JB021108_33_92bp	15337	JinhaeBay08	Korea
JB021108_33_rep_92bp	24958	JinhaeBay08	Korea
JB021108_34_92bp	24236	JinhaeBay08	Korea
JB021108_35_92bp	24539	JinhaeBay08	Korea
JB021108_35_rep_92bp	24671	JinhaeBay08	Korea
JB021108_36.1_92bp	25036	JinhaeBay08	Korea
JB021108_36_rep.1_92bp	25028	JinhaeBay08	Korea
JB021108_37.1_92bp	25019	JinhaeBay08	Korea
JB021108_37_rep.1_92bp	25015	JinhaeBay08	Korea
JB021108_38.1_92bp	21889	JinhaeBay08	Korea
JB021108_39_92bp	23518	JinhaeBay08	Korea
JB021108_40_2_92bp	24604	JinhaeBay08	Korea
JB021108_40_92bp	13444	JinhaeBay08	Korea
JB021108_41.1_92bp	23398	JinhaeBay08	Korea
JB021108_44.1_92bp	25074	JinhaeBay08	Korea
JB021108_45_92bp	25139	JinhaeBay08	Korea
JB021108_46.1_92bp	25154	JinhaeBay08	Korea
JB021108_46_rep.1_92bp	25131	JinhaeBay08	Korea
JB021108_47.1_92bp	25129	JinhaeBay08	Korea
JB021108_48.1_92bp	24810	JinhaeBay08	Korea
JB121807_01_92bp	25096	JinhaeBay07	Korea
JB121807_03.1_92bp	24968	JinhaeBay07	Korea
JB121807_03_rep_92bp	24967	JinhaeBay07	Korea
JB121807_04.1_92bp	20018	JinhaeBay07	Korea
JB121807_05_2_92bp	25155	JinhaeBay07	Korea
JB121807_05_92bp	21545	JinhaeBay07	Korea
JB121807_06.1_92bp	25090	JinhaeBay07	Korea
JB121807_07.1_92bp	147	JinhaeBay07	Korea
JB121807_08_92bp	25122	JinhaeBay07	Korea
JB121807_08_rep_92bp	25110	JinhaeBay07	Korea
JB121807_09.1_92bp	18306	JinhaeBay07	Korea
JB121807_10_c_92bp	4255	JinhaeBay07	Korea
JB121807_11.1_92bp	25169	JinhaeBay07	Korea
JB121807_12.1_92bp	21996	JinhaeBay07	Korea
JB121807_13_c_92bp	16090	JinhaeBay07	Korea
JB121807_14.1_92bp	24432	JinhaeBay07	Korea
JB121807_16.1_92bp	19647	JinhaeBay07	Korea
JB121807_16_2_92bp	25068	JinhaeBay07	Korea
JB121807_18_92bp	24973	JinhaeBay07	Korea
JB121807_19.1_92bp	25034	JinhaeBay07	Korea
JB121807_20.1_92bp	24993	JinhaeBay07	Korea
JB121807_21.1_92bp	23908	JinhaeBay07	Korea
JB121807_22_c_92bp	20815	JinhaeBay07	Korea
JB121807_23_2_92bp	24436	JinhaeBay07	Korea
JB121807_23_92bp	18303	JinhaeBay07	Korea
JB121807_24.1_92bp	24840	JinhaeBay07	Korea
JB121807_25_92bp	22796	JinhaeBay07	Korea
JB121807_26_c_92bp	22806	JinhaeBay07	Korea
JB121807_27_2_92bp	24933	JinhaeBay07	Korea
JB121807_27_92bp	21004	JinhaeBay07	Korea
JB121807_28.1_92bp	24788	JinhaeBay07	Korea
JB121807_29_92bp	24808	JinhaeBay07	Korea
JB121807_30_2_92bp	25023	JinhaeBay07	Korea
JB121807_30_92bp	21844	JinhaeBay07	Korea
JB121807_31.1_92bp	24691	JinhaeBay07	Korea
JB121807_32.1_92bp	24478	JinhaeBay07	Korea
JB121807_33.1_92bp	24336	JinhaeBay07	Korea
JB121807_34.1_92bp	25014	JinhaeBay07	Korea
JB121807_35_2_92bp	24421	JinhaeBay07	Korea
JB121807_35_92bp	13647	JinhaeBay07	Korea
JB121807_36_c_92bp	11313	JinhaeBay07	Korea
JB121807_37_92bp	24954	JinhaeBay07	Korea
JB121807_38.1_92bp	24371	JinhaeBay07	Korea
JB121807_39_92bp	25111	JinhaeBay07	Korea
JB121807_41.1_92bp	20328	JinhaeBay07	Korea
JB121807_42_92bp	22782	JinhaeBay07	Korea
JB121807_43_92bp	25110	JinhaeBay07	Korea
JB121807_44_92bp	24891	JinhaeBay07	Korea
JB121807_45.1_92bp	16685	JinhaeBay07	Korea
JB121807_46_92bp	24071	JinhaeBay07	Korea
JB121807_47_2_92bp	22468	JinhaeBay07	Korea
JB121807_47_92bp	8325	JinhaeBay07	Korea
JB121807_48.1_92bp	20621	JinhaeBay07	Korea
JUK07_01_92bp	24429	Jukbyeon07	Korea
JUK07_02.1_92bp	25131	Jukbyeon07	Korea
JUK07_02_rep.1_92bp	25079	Jukbyeon07	Korea
JUK07_03_92bp	24591	Jukbyeon07	Korea
JUK07_04_92bp	24945	Jukbyeon07	Korea
JUK07_06.1_92bp	25154	Jukbyeon07	Korea
JUK07_06_2_92bp	25140	Jukbyeon07	Korea
JUK07_08_92bp	25064	Jukbyeon07	Korea
JUK07_09.1_92bp	25069	Jukbyeon07	Korea
JUK07_09_rep.1_92bp	25072	Jukbyeon07	Korea
JUK07_10_92bp	23893	Jukbyeon07	Korea
