sample	n_loci	population	group
JUK07_08_92bp	24680	Jukbyeon07	Korea
PO020515_08.1_92bp	24361	Pohang15	Korea
PS12_020	23077	SalishSea12_13	Alaska
JB121807_30_2_92bp	24277	JinhaeBay07	Korea
JB021108_05_92bp	24824	JinhaeBay08	Korea
WC05_022	23143	WashCoast05	Alaska
JB121807_04.1_92bp	17408	JinhaeBay07	Korea
AD06_036	23216	Adak06	Alaska
JB021108_08.1_92bp	21896	JinhaeBay08	Korea
JB021108_26.1_92bp	23800	JinhaeBay08	Korea
PS12_010	17246	SalishSea12_13	Alaska
PS12_011	17815	SalishSea12_13	Alaska
PS12_012	23238	SalishSea12_13	Alaska
PS12_013	20538	SalishSea12_13	Alaska
PS12_014	23283	SalishSea12_13	Alaska
PS12_015	23653	SalishSea12_13	Alaska
PS12_016	23188	SalishSea12_13	Alaska
YS_121316_17_92bp	24721	YellowSea16	Korea
PS12_018	23282	SalishSea12_13	Alaska
PS12_019	18828	SalishSea12_13	Alaska
JB021108_23_92bp	23640	JinhaeBay08	Korea
YS_121316_18_92bp	23720	YellowSea16	Korea
JB021108_45_92bp	24724	JinhaeBay08	Korea
NA021015_14.1_92bp	24588	Namhae15	Korea
JUK07_20_92bp	23084	Jukbyeon07	Korea
JUK07_23_92bp	24545	Jukbyeon07	Korea
HS04_006	23404	HecStrait04	Alaska
JB021108_48.1_92bp	24209	JinhaeBay08	Korea
JUK07_06.1_92bp	24622	Jukbyeon07	Korea
GEO020414_27_92bp	23875	Geoje14	Korea
PWS12_056	16919	PWSound12	Alaska
PWS12_057	22420	PWSound12	Alaska
HS04_005	22953	HecStrait04	Alaska
JB121807_22_c_92bp	19825	JinhaeBay07	Korea
GEO020414_16_92bp	24158	Geoje14	Korea
YS_121316_22_92bp	24703	YellowSea16	Korea
YS_121316_21_2_92bp	24816	YellowSea16	Korea
PO010715_02_rep_92bp	24896	Pohang15	Korea
AD06_033	17047	Adak06	Alaska
GE011215_18_92bp	24810	Geoje15	Korea
BOR07_03_92bp	23793	Boryeong07	Korea
NA021015_02.1_92bp	24167	Namhae15	Korea
JB021108_11_2_92bp	24338	JinhaeBay08	Korea
UP03_008	23186	UnimakPass03	Alaska
PO010715_19.1_92bp	24558	Pohang15	Korea
JB121807_27_92bp	19442	JinhaeBay07	Korea
PS12_027	22830	JuandeFuca12	Alaska
YS_121316_19_92bp	22471	YellowSea16	Korea
PS12_006	23371	SalishSea12_13	Alaska
GE012315_09_2_92bp	25180	Geoje15	Korea
PS12_026	21300	JuandeFuca12	Alaska
GE011215_08.1_92bp	24044	Geoje15	Korea
PO020515_06_92bp	24741	Pohang15	Korea
YS121315_08.1_92bp	24351	YellowSea16	Korea
PS12_008	23589	SalishSea12_13	Alaska
HS04_018	23363	HecStrait04	Alaska
GS13_011	22684	SalishSea12_13	Alaska
UP03_004	22996	UnimakPass03	Alaska
JB121807_05_2_92bp	24654	JinhaeBay07	Korea
PO020515_14.1_92bp	24567	Pohang15	Korea
GS13_013	20981	SalishSea12_13	Alaska
NA021015_09.1_92bp	24731	Namhae15	Korea
PWS12_017	23675	PWSound12	Alaska
GS13_015	18876	SalishSea12_13	Alaska
GE012315_08.1_92bp	24545	Geoje15	Korea
BOR07_16_92bp	24638	Boryeong07	Korea
PS12_017	23535	SalishSea12_13	Alaska
YS_121316_05_92bp	24143	YellowSea16	Korea
HS04_007	21899	HecStrait04	Alaska
HS04_004	19771	HecStrait04	Alaska
GE011215_30.1_92bp	24812	Geoje15	Korea
