per locus comparison. all values as proportions
locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
10491	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10492	50	0.0	0.04	0.0	0.96	0.0	0.0	1.0	0.0
10500	50	0.0	0.12	0.0	0.88	0.0	0.0	0.772727272727	0.227272727273
10502	50	0.0	0.72	0.0	0.28	0.0	0.0	1.0	0.0
10504	50	0.0	0.06	0.0	0.94	0.0	0.0	1.0	0.0
10505	50	0.0	0.04	0.0	0.96	0.0	0.0	0.6875	0.3125
10507	50	0.0	0.08	0.0	0.92	0.0	0.0	1.0	0.0
10509	50	0.0	0.14	0.0	0.86	0.0	0.0	0.837209302326	0.162790697674
10513	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10515	50	0.0	0.0	0.0	1.0	0.0	0.0	0.92	0.08
10517	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
10518	50	0.0	0.2	0.0	0.8	0.0	0.0	1.0	0.0
10520	50	0.0	0.72	0.0	0.28	0.0	0.0	1.0	0.0
10521	50	0.0	0.0	0.0	1.0	0.0	0.0	0.68	0.32
10527	50	0.0	0.1	0.0	0.9	0.0	0.0	0.911111111111	0.0888888888889
10543	50	0.0	0.82	0.0	0.18	0.0	0.0	1.0	0.0
10548	50	0.0	0.06	0.0	0.94	0.0	0.0	1.0	0.0
10550	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
10553	50	0.0	0.1	0.0	0.9	0.0	0.0	0.888888888889	0.111111111111
1056	50	0.0	0.0	0.0	1.0	0.0	0.0	0.4	0.6
10564	50	0.0	0.04	0.0	0.96	0.0	0.0	0.958333333333	0.0416666666667
10567	50	0.0	0.04	0.0	0.96	0.0	0.0	0.9375	0.0625
10569	50	0.0	0.02	0.0	0.98	0.0	0.0	0.816326530612	0.183673469388
10570	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10578	50	0.0	0.1	0.0	0.9	0.0	0.0	1.0	0.0
1058	50	0.0	0.0	0.0	1.0	0.0	0.0	0.96	0.04
10581	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
10587	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10588	50	0.0	0.22	0.0	0.78	0.0	0.0	1.0	0.0
10589	50	0.0	0.0	0.0	1.0	0.0	0.0	0.7	0.3
1059	50	0.0	0.14	0.0	0.86	0.0	0.0	0.883720930233	0.116279069767
10591	50	0.0	0.08	0.0	0.92	0.0	0.0	0.782608695652	0.217391304348
10595	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10598	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
106	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
1060	50	0.0	0.0	0.0	1.0	0.0	0.0	0.98	0.02
10603	50	0.0	0.54	0.0	0.46	0.0	0.0	0.95652173913	0.0434782608696
10605	50	0.0	0.04	0.0	0.96	0.0	0.0	0.958333333333	0.0416666666667
10607	50	0.0	0.02	0.0	0.98	0.0	0.0	0.959183673469	0.0408163265306
10612	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10613	50	0.0	0.06	0.0	0.94	0.0	0.0	0.574468085106	0.425531914894
10620	50	0.0	0.08	0.0	0.92	0.0	0.0	0.869565217391	0.130434782609
10623	50	0.0	0.06	0.0	0.94	0.0	0.0	0.553191489362	0.446808510638
10630	50	0.0	0.0	0.0	1.0	0.0	0.0	0.98	0.02
10633	50	0.0	0.08	0.0	0.92	0.0	0.0	0.934782608696	0.0652173913043
10635	50	0.0	0.06	0.0	0.94	0.0	0.0	0.659574468085	0.340425531915
10636	50	0.0	0.1	0.0	0.9	0.0	0.0	0.955555555556	0.0444444444444
10637	50	0.0	0.0	0.0	1.0	0.0	0.0	0.92	0.08
10642	50	0.0	0.06	0.0	0.94	0.0	0.0	1.0	0.0
10644	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10647	50	0.0	0.06	0.0	0.94	0.0	0.0	1.0	0.0
10648	50	0.0	0.04	0.0	0.96	0.0	0.0	0.916666666667	0.0833333333333
10652	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10653	50	0.0	0.08	0.0	0.92	0.0	0.0	1.0	0.0
10654	50	0.0	0.02	0.0	0.98	0.0	0.0	0.591836734694	0.408163265306
10655	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10660	50	0.0	0.04	0.0	0.96	0.0	0.0	0.520833333333	0.479166666667
10661	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10662	50	0.0	0.08	0.0	0.92	0.0	0.0	0.913043478261	0.0869565217391
10664	50	0.0	0.02	0.0	0.98	0.0	0.0	0.938775510204	0.0612244897959
10665	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10673	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10677	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10679	50	0.0	0.2	0.0	0.8	0.0	0.0	1.0	0.0
10682	50	0.0	0.08	0.0	0.92	0.0	0.0	0.95652173913	0.0434782608696
10683	50	0.0	0.54	0.0	0.46	0.0	0.0	1.0	0.0
