locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
4094	50	0.04	0.0	0.06	0.9	1.0	0.0	0.0	0.0
4095	50	0.1	0.02	0.06	0.82	1.0	0.0	0.0	0.0
4096	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
4099	50	0.0	0.0	0.06	0.94	0.978723404255	0.0	0.0	0.0212765957447
4103	50	0.12	0.2	0.08	0.6	0.966666666667	0.0	0.0	0.0333333333333
4105	50	0.12	0.16	0.0	0.72	1.0	0.0	0.0	0.0
4107	50	0.02	0.0	0.08	0.9	1.0	0.0	0.0	0.0
4110	50	0.0	0.02	0.06	0.92	1.0	0.0	0.0	0.0
4112	50	0.02	0.0	0.0	0.98	1.0	0.0	0.0	0.0
4120	50	0.06	0.2	0.02	0.72	0.944444444444	0.0	0.0	0.0555555555556
4123	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
4124	50	0.02	0.0	0.04	0.94	1.0	0.0	0.0	0.0
4128	50	0.04	0.0	0.04	0.92	1.0	0.0	0.0	0.0
4132	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
4135	50	0.0	0.0	0.0	1.0	0.96	0.0	0.02	0.02
4136	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
4138	50	0.02	0.0	0.04	0.94	0.978723404255	0.0	0.0	0.0212765957447
4142	50	0.02	0.0	0.02	0.96	0.958333333333	0.0208333333333	0.0	0.0208333333333
4143	50	0.0	0.0	0.04	0.96	0.9375	0.0	0.0	0.0625
4144	50	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
4148	50	0.04	0.0	0.1	0.86	1.0	0.0	0.0	0.0
4151	50	0.1	0.18	0.0	0.72	1.0	0.0	0.0	0.0
4152	50	0.02	0.0	0.08	0.9	1.0	0.0	0.0	0.0
4153	50	0.06	0.0	0.04	0.9	1.0	0.0	0.0	0.0
4159	50	0.02	0.0	0.02	0.96	1.0	0.0	0.0	0.0
4161	50	0.2	0.1	0.06	0.64	1.0	0.0	0.0	0.0
4162	50	0.02	0.04	0.08	0.86	1.0	0.0	0.0	0.0
4166	50	0.18	0.14	0.1	0.58	1.0	0.0	0.0	0.0
4167	50	0.12	0.06	0.1	0.72	0.972222222222	0.0	0.0277777777778	0.0
4171	50	0.08	0.0	0.04	0.88	1.0	0.0	0.0	0.0
4172	50	0.1	0.22	0.04	0.64	1.0	0.0	0.0	0.0
4173	50	0.02	0.0	0.02	0.96	1.0	0.0	0.0	0.0
4176	50	0.0	0.0	0.06	0.94	0.978723404255	0.0	0.0212765957447	0.0
4178	50	0.1	0.02	0.06	0.82	0.975609756098	0.0243902439024	0.0	0.0
4179	50	0.02	0.16	0.06	0.76	1.0	0.0	0.0	0.0
4180	50	0.02	0.02	0.02	0.94	1.0	0.0	0.0	0.0
4181	50	0.1	0.14	0.06	0.7	1.0	0.0	0.0	0.0
4183	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
4184	50	0.0	0.0	0.04	0.96	0.979166666667	0.0	0.0	0.0208333333333
4185	50	0.28	0.24	0.06	0.42	1.0	0.0	0.0	0.0
4186	50	0.42	0.22	0.04	0.32	1.0	0.0	0.0	0.0
4191	50	0.04	0.0	0.04	0.92	1.0	0.0	0.0	0.0
4194	50	0.0	0.02	0.02	0.96	1.0	0.0	0.0	0.0
4197	50	0.02	0.0	0.04	0.94	0.978723404255	0.0	0.0	0.0212765957447
4198	50	0.02	0.0	0.02	0.96	0.916666666667	0.0	0.0208333333333	0.0625
