LIST OF LOGLIKELIHOODS

This output shows the Ln(Likelihood) for each of the four following
relationships:

U  = Unrelated
HS = Half Sibs
FS = Full Sibs
PO = Parent / Offspring

Interpretation

R                     This column lists the relationship with the highest likelihood.
LnL(R)                This column lists the log likelihood of R
Delta Ln(L)           These columns list how much lower the log likelihoods are for
                          the other relationships. For example, if there is a 2.1
                          the FS column, it means that the loglikelihood of the
                          individuals being full sibs is 2.1 less than the
                          loglikelihood of the relationship with the highest
                          likelihood.

Note:                 A Delta Ln(L) of '9999' indicates that the relationship
                           is not possible.


						Delta Ln(L)
Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
PS12_009	PS12_004	U	-2632.38		-	14.62	140.85	9999
PS12_009	PS12_005	U	-2988.05		-	33.56	190.74	9999
PS12_009	PS12_006	HS	-3027.68		12.42	-	134.87	9999
PS12_009	PS12_007	U	-2884.37		-	15.83	160.95	9999
PS12_009	PS12_008	U	-3109.70		-	12.27	164.41	9999
PS12_010	GS13_001	U	-2810.17		-	34.30	194.83	9999
PS12_010	GS13_002	U	-2207.85		-	28.18	152.10	9999
PS12_010	GS13_003	U	-2621.52		-	13.00	142.43	9999
PS12_010	GS13_004	U	-2411.48		-	32.81	161.49	9999
PS12_010	GS13_005	U	-2767.69		-	35.67	193.37	9999
PS12_010	GS13_006	U	-2745.21		-	22.14	167.22	9999
PS12_010	GS13_007	U	-2447.27		-	28.15	156.84	9999
PS12_010	GS13_008	U	-2709.82		-	28.30	179.23	9999
PS12_010	GS13_009	U	-2269.72		-	26.75	156.75	9999
PS12_010	GS13_010	U	-2457.99		-	20.35	148.09	9999
PS12_010	GS13_011	U	-2676.66		-	27.23	173.96	9999
PS12_010	GS13_012	U	-2770.33		-	31.92	189.59	9999
PS12_010	GS13_013	U	-2714.42		-	24.01	179.25	9999
PS12_010	GS13_014	U	-2698.78		-	39.09	186.33	9999
PS12_010	GS13_015	U	-2639.60		-	22.30	152.24	9999
PS12_010	GS13_016	U	-2716.05		-	38.84	197.88	9999
PS12_010	GS13_017	U	-2733.37		-	2.31	141.67	9999
PS12_010	PS12_001	U	-2624.37		-	31.95	167.82	9999
PS12_010	PS12_002	U	-2494.46		-	22.44	157.73	9999
PS12_010	PS12_003	U	-2706.46		-	24.21	164.02	9999
PS12_010	PS12_004	U	-2391.26		-	30.59	169.90	9999
PS12_010	PS12_005	U	-2615.80		-	22.97	163.06	9999
PS12_010	PS12_006	U	-2684.42		-	28.64	183.76	9999
PS12_010	PS12_007	U	-2555.91		-	14.02	149.06	9999
